,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,breakEvenPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
175,POWRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
176,WAXPUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
177,SANDUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,400000,BOTH,0,0,0,0,0,0
178,CTKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
179,LINKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.00,0,0,0,0,0
180,MINAUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
181,CELRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
182,RIFUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
183,AGLDUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
184,RSRUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
185,RENUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
186,LPTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
187,JASMYUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
188,PHBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
189,ARBUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,600000,BOTH,0.0,0,0,0,0,0
190,YGGUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,0,BOTH,0,0,0,0,0,0
191,EGLDUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
192,LUNA2USDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
193,DYMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
194,IMXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
195,NFPUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
196,VETUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,200000,BOTH,0,0,0,0,0,0
197,ONTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
198,LQTYUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
199,NEOUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,400000,BOTH,0.00,0,0,0,0,0
200,COTIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
201,CVXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
202,VANRYUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
203,ARBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,600000,BOTH,0.0,0,0,0,0,0
204,LINKUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.00,0,0,0,0,0
205,BAKEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
206,GRTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,50000,BOTH,0,0,0,0,0,0
207,AUCTIONUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.00,0,0,0,0,0
208,FLMUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
209,MASKUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
210,EOSUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0.0,0,0,0,0,0
211,WIFUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,80000,BOTH,0.0,0,0,0,0,0
212,NEARUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,250000,BOTH,0,0,0,0,0,0
213,BALUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
214,SUIUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
215,METISUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.00,0,0,0,0,0
216,DENTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
217,BCHUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,500000,BOTH,0.000,0,0,0,0,0
218,STPTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
219,TRUUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
220,CKBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0,0,0,0,0,0
221,SSVUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.00,0,0,0,0,0
222,CYBERUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,5000,BOTH,0.0,0,0,0,0,0
223,TOKENUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
224,C98USDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
225,ZENUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
226,NEARUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,150000,BOTH,0,0,0,0,0,0
227,TWTUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0.0,0,0,0,0,0
228,BEAMXUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
229,SUIUSDC,0,0,0.00000000,0,0,20,False,0.0,0.0,600000,BOTH,0.0,0,0,0,0,0
230,BCHUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,10000000,BOTH,0.000,0,0,0,0,0
231,BOMEUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
232,SLPUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,25000,BOTH,0,0,0,0,0,0
233,1000SHIBUSDT,0,0,0.00000000,0,0,20,False,0.0,0.0,300000,BOTH,0,0,0,0,0,0
